name,a,e,M,per
,42.77348514,0.065597432,223.0323774,279.7500408
,39.59049625,0.235349502,17.92873781,249.111984
,39.97443796,0.07903123,351.8099237,252.7445222
,39.42230922,0.194241143,338.5380961,247.5262672
Varda,45.8054613,0.13985715,266.9897194,310.0159897
,38.82816511,0.07120748,165.4090437,241.951603
,43.96746183,0.05289897,351.3046869,291.5447969
,46.03858422,0.183829003,352.5298649,312.3856977
,53.21477021,0.293311504,30.91126219,388.2008563
,49.99215349,0.297015362,331.253221,353.4768449
,43.95060265,0.086670465,55.43280373,291.3771251
,53.08134558,0.261600194,40.21537106,386.7417762
,121.1321053,0.689590843,7.315136055,1333.205512
,43.64054073,0.099546074,282.9532403,288.2991665
,58.41746816,0.382057816,30.50256098,446.5008582
,45.17471214,0.165606681,354.4599511,303.6346237
,51.44792861,0.234878415,66.68451887,369.0286149
,46.09428948,0.149973309,310.9415148,312.9528347
,50.64196808,0.242056493,336.6238565,360.3911063
,44.44097102,0.111348071,80.64860608,296.2671581
,44.62133265,0.107128071,301.4755927,298.0725667
,44.68581643,0.106293309,320.5359002,298.718932
,53.63949058,0.389617297,359.9557304,392.8576091
,106.2500812,0.667388448,1.420841618,1095.221872
,45.40933232,0.141732705,317.7190513,306.0031356
,43.20067111,0.150184315,223.929501,283.9513531
,39.63820974,0.176762905,229.4418153,249.562455
,66.92519423,0.506687245,104.1549034,547.5107652
,73.61135285,0.490786251,342.7070831,631.5756844
,47.21575322,0.248879256,356.3760661,324.4431323
,40.78075711,0.778500741,13.0699738,260.4300707
,43.697183,0.08430144,84.41479251,288.8606359
,48.10959991,0.160422016,338.0579756,333.699703
,43.97177155,0.102061974,52.42826869,291.5876641
,110.5097606,0.666753793,13.8542298,1161.740579
,61.59697244,0.402364947,354.3018348,483.4451995
,39.54480287,0.155705947,326.3344126,248.6808394
,46.81100663,0.204423986,48.11857473,320.2802603
,41.71680393,0.144385226,216.1871765,269.4478636
,39.21175049,0.211452866,272.5848034,245.5458215
,43.61117466,0.077433771,275.1580142,288.0082173
,89.43279658,0.593238064,5.454206187,845.772226
,43.64677054,0.14698223,319.6565735,288.360902
,47.59955119,0.195970264,52.23567219,328.4070631
,34.71517566,0.064956388,305.4849158,204.5442394
,43.67461745,0.103993597,72.27531876,288.6369101
,736.6735726,0.967210397,0.170154453,19994.97372
,30.1600461,0.299869275,66.98319053,165.6365605
,30.282169,0.57062342,12.58926174,166.6436121
,48.0237732,0.31164342,0.933379589,332.8071294
,41.99625575,0.140853536,44.6348027,272.159852
,30.86897893,0.315273339,43.05779466,171.5108498
,323.0417698,0.97086979,0.315052992,5806.256581
Mors-Somnus,39.11974335,0.262780783,357.8604094,244.6820991
,126.3260051,0.894048408,0.515505348,1419.865955
,43.65753929,0.050207423,204.5827473,288.4676274
,45.73097834,0.134797255,34.87241097,309.2601349
,44.9339484,0.085396222,8.774601274,301.2104783
,39.13372509,0.1952758,26.98444578,244.8132881
,41.15728067,0.029382245,186.2853826,264.0451599
,43.24866988,0.051383695,230.4503646,284.4247173
,45.16311705,0.042367988,352.8287816,303.5177294
,43.03111751,0.075118527,141.7708809,282.2813199
,42.43395426,0.093898865,46.35484085,276.4257255
,46.05661243,0.145922101,249.9420151,312.5692059
,44.68802668,0.076268427,156.6105464,298.7410952
,44.37061456,0.083949014,22.79129779,295.5638862
,39.30886163,0.153087195,123.4101329,246.4585578
Manwe,43.53341247,0.113455435,274.0678462,287.2382485
,43.65517062,0.025432752,19.21637718,288.4441512
,45.75575679,0.169381612,300.2427584,309.511519
,43.60857006,0.240261257,337.1225479,287.9824165
,56.06316847,0.336929328,6.854644591,419.7828197
,42.90430936,0.114761154,70.36708724,281.0344598
,63.35206127,0.349880787,13.71177015,504.2539713
,44.29324591,0.144500371,180.874401,294.7911651
,43.91006332,0.041439021,244.8407422,290.9740757
,35.47767806,0.682221638,11.96619385,211.3201863
,42.91788914,0.06691373,47.6539509,281.1678971
,44.22075317,0.133554657,338.1374306,294.0677544
,347.6092104,0.968349926,0.161888099,6481.046166
Praamzius,42.93607953,0.00216557,168.3191527,281.346672
,34.75809002,0.096747856,157.6995036,204.9236382
,40.02702473,0.056709611,244.7689051,253.2434181
,35.11442472,0.168903241,29.95720685,208.0829704
,42.86181086,0.054309124,349.3474802,280.6169988
,55.78371994,0.32538983,8.807177352,416.6481042
,42.53268069,0.234073369,338.169926,277.3909806
,110.7572852,0.670853034,357.9600697,1165.645941
,42.73703462,0.077526912,5.601499419,279.3925228
,44.67772497,0.132395804,172.6195126,298.6378001
,39.73851895,0.284987513,24.08491817,250.5103753
,42.46335441,0.037510498,19.28920466,276.7130556
,46.73912993,0.123520076,30.86669708,319.5428745
,44.40670127,0.049783883,27.50407087,295.9245336
,44.18489853,0.043296624,262.6673678,293.7101771
,43.28071371,0.148919742,40.29222146,284.74088
,39.45293793,0.181685085,293.2151954,247.8147922
,152.7793797,0.775363463,357.7298005,1888.449239
,39.3411639,0.258750036,351.5935949,246.7624132
,76.47394376,0.511244489,336.7781134,668.772541
,45.8049188,0.120601724,77.9493416,310.0104822
,46.99365093,0.128061531,54.39257767,322.1565622
,45.30393595,0.090813648,56.69179851,304.9383909
,39.14639934,0.222546471,109.1429989,244.9322293
,39.33232418,0.275927257,13.05743299,246.6792489
Mercury,0.387,0.2056,168.6562,0.241010959
Venus,0.723,0.0067,48.0052,0.615619178
Earth,1,0.0167,358.617,1
Mars,1.524,0.0934,18.6021,1.882136986
Jupiter,5.2026,0.048498,19.895,11.87010685
Saturn,9.554909,0.05555,316.967,29.47731507
Uranus,19.2184,0.046381,142.5905,84.06958904
Neptune,30.110387,0.009456,260.2471,164.9013699
