# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  4 08:09:49 2016
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Significant Secondary False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0,0,0,0,2.470613385,122.7633008,0.8186,1.74259,1.4186e+04,12.85,1344.0,772.22,6802.00,1,q1_q17_dr24_tce,5850.00,4.455,0.9500,286.808470,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,0,1,0,0,2.204735365,121.3585723,0.0010,3.88216,6.6906e+03,16.39,2025.0,3973.70,6714.50,1,q1_q17_dr24_tce,6350.00,4.021,1.9910,292.247280,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0,0,0,0,3.522498573,121.1194294,0.6141,3.19061,9.3793e+03,14.83,1521.0,1264.67,1801.50,1,q1_q17_dr24_tce,6225.00,4.169,1.4510,281.288120,42.451080,13.563
14,10984090,K00112.02,,CANDIDATE,CANDIDATE,0,0,0,0,3.709213846,133.9837300,0.2050,2.55750,1.3330e+02,1.24,1236.0,552.21,54.00,2,q1_q17_dr24_tce,5803.00,4.351,1.0730,295.648710,48.495560,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,11.521446107,170.8396560,4.0693,3.62581,1.9618e+04,297.97,754.0,76.56,635.40,1,q1_q17_dr24_tce,5804.00,4.553,0.8500,297.079930,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.403982220,172.4825740,0.9832,9.72650,4.5820e+03,7.90,523.0,17.69,29.30,1,q1_q17_dr24_tce,5043.00,4.591,0.6800,289.258210,47.635319,15.487
17,10480982,K00744.01,,CANDIDATE,CANDIDATE,0,0,0,0,19.221386154,184.5522893,1.0736,4.80831,7.9324e+04,51.40,698.0,55.97,2043.10,1,q1_q17_dr24_tce,6117.00,4.496,0.9470,295.814540,47.690350,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,16.469835630,180.8815390,0.0073,9.42830,1.1446e+04,8.21,595.0,29.61,413.90,1,q1_q17_dr24_tce,5152.00,4.517,0.7860,297.154420,47.668701,15.788
19,10526549,K00746.01,,CANDIDATE,CANDIDATE,0,0,0,0,9.273581940,173.2580190,0.2361,3.30040,1.3667e+03,2.52,649.0,41.85,83.10,1,q1_q17_dr24_tce,4856.00,4.583,0.6960,288.138240,47.724449,15.302
20,10583066,K00747.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.029301321,171.6032900,0.3748,1.57980,2.1144e+03,3.14,685.0,52.09,65.50,1,q1_q17_dr24_tce,4536.00,4.636,0.6930,283.710880,47.863270,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,2.696365214,170.7388000,0.0618,3.65960,4.8260e+02,1.74,1066.0,305.34,54.00,1,q1_q17_dr24_tce,4989.00,4.504,0.8190,283.765470,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,0,0,0,0,5.349556710,171.8066200,0.8201,3.20790,8.8990e+02,2.70,918.0,167.93,60.50,1,q1_q17_dr24_tce,5559.00,4.572,0.8060,292.376130,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0,0,0,0,3.941046320,136.0883800,0.0086,2.54440,3.9670e+02,1.59,1017.0,252.42,28.80,2,q1_q17_dr24_tce,5559.00,4.572,0.8060,292.376130,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0,0,0,0,8.109046710,132.8041500,0.3038,3.56700,2.2000e+02,1.19,799.0,96.38,13.40,3,q1_q17_dr24_tce,5559.00,4.572,0.8060,292.376130,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,386.603052800,166.3420790,0.9765,6.80570,2.4927e+04,41.50,297.0,1.84,994.00,1,q1_q16_tce,5543.00,4.081,1.5800,292.273740,37.671558,12.394
26,10662202,K00750.01,,CANDIDATE,CANDIDATE,0,0,0,0,21.676974860,171.5375000,0.0076,3.12630,8.8590e+02,1.54,430.0,8.09,35.10,1,q1_q17_dr24_tce,4722.00,4.723,0.5270,290.465120,47.929180,15.377
27,10682541,K00751.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.996782840,171.7415800,0.3083,2.09000,1.0327e+03,2.70,917.0,166.95,29.80,1,q1_q17_dr24_tce,5339.00,4.552,0.8470,297.808260,47.946671,15.861
28,11460018,K00769.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.280958588,171.8974200,0.3248,2.87530,7.8630e+02,2.33,1014.0,250.32,60.80,1,q1_q17_dr24_tce,5641.00,4.556,0.8310,294.265810,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1.506354539,170.9979060,0.8721,1.54240,2.4823e+03,4.87,1459.0,1070.27,183.80,1,q1_q17_dr24_tce,5722.00,4.558,0.8350,295.665220,49.351009,15.525
30,11465813,K00771.01,,CANDIDATE,CANDIDATE,0,0,0,0,670.645246000,209.0441500,0.6757,54.02400,1.9165e+04,14.41,196.0,0.35,524.80,,,5520.00,4.466,0.9830,296.698610,49.316479,15.207
31,11493732,K00772.01,,CANDIDATE,CANDIDATE,0,0,0,0,61.256344300,173.8377200,1.4583,7.66800,5.4274e+03,64.23,505.0,15.43,88.10,1,q1_q17_dr24_tce,6144.00,4.402,1.0910,283.725920,49.479519,15.250
32,11507101,K00773.01,,CANDIDATE,CANDIDATE,0,0,0,0,38.377462300,172.8195100,0.1620,5.55000,7.7630e+02,2.70,541.0,20.30,35.20,1,q1_q17_dr24_tce,5957.00,4.498,0.9710,291.722020,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0,0,0,0,41.197087400,165.0073200,0.0216,4.56430,2.5122e+03,3.62,417.0,7.14,51.50,2,q1_q17_dr24_tce,5126.00,4.609,0.7420,286.999480,48.375790,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,0,0,0,0,6.252964898,171.3011700,0.1782,2.59180,1.0969e+03,2.41,782.0,88.22,45.60,3,q1_q17_dr24_tce,5126.00,4.609,0.7420,286.999480,48.375790,15.841
35,10987985,K00758.01,,CANDIDATE,CANDIDATE,0,0,0,0,16.013102050,176.3596300,0.1874,3.06540,1.2632e+03,2.86,593.0,29.31,40.00,1,q1_q17_dr24_tce,5015.00,4.499,0.8260,297.025630,48.478588,15.390
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,0,0,0,0,32.628829750,194.1009500,44.5801,6.36440,2.0718e+03,3791.05,506.0,15.48,73.80,1,q1_q17_dr24_tce,5588.00,4.563,0.7960,285.718540,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0,0,0,0,91.772210000,193.8484900,0.3482,6.36300,7.1310e+02,2.13,358.0,3.90,18.80,2,q1_q17_dr24_tce,5588.00,4.563,0.7960,285.718540,48.505859,15.082
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.959319451,172.2584591,0.8365,2.23976,1.0375e+04,11.88,1128.0,382.06,684.90,1,q1_q17_dr24_tce,6117.00,4.457,1.0250,292.167050,48.727589,15.263
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,2.701288140,170.6962600,1.7237,3.43830,1.0909e+03,74.88,1222.0,527.81,53.50,1,q1_q17_dr24_tce,5550.00,4.468,0.9100,297.923650,48.777321,15.540
40,11153539,K00762.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.498760920,171.3511000,0.0463,3.83080,5.1920e+02,2.21,1133.0,389.62,30.40,1,q1_q17_dr24_tce,6075.00,4.486,0.9690,298.456850,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,19.651206054,179.4021330,0.7106,5.25890,1.2653e+04,12.83,730.0,67.03,528.10,1,q1_q17_dr24_tce,6074.00,4.391,1.0630,291.093900,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,0,0,0,0,5.412207130,133.1427530,0.0975,2.81050,5.9810e+02,3.28,1306.0,686.92,198.50,1,q1_q17_dr24_tce,6391.00,4.226,1.3320,287.887330,46.276241,12.791
43,11304958,K00764.01,,CANDIDATE,CANDIDATE,0,0,0,0,41.439628080,208.9311200,0.3872,10.64680,3.0101e+03,5.73,516.0,16.72,134.50,1,q1_q17_dr24_tce,5468.00,4.367,1.0460,295.555050,49.017342,15.400
44,11391957,K00765.01,,CANDIDATE,CANDIDATE,0,0,0,0,8.353906390,171.6326400,0.0492,2.27120,1.0730e+03,2.54,789.0,91.45,43.80,1,q1_q17_dr24_tce,5592.00,4.584,0.7820,285.499240,49.277351,15.317
45,11403044,K00766.01,,CANDIDATE,CANDIDATE,0,0,0,0,4.125546869,169.7519970,0.3989,3.13890,1.5827e+03,4.46,1244.0,565.35,128.80,1,q1_q17_dr24_tce,6174.00,4.417,1.1030,291.936160,49.253979,15.506
46,11414511,K00767.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.816504852,170.9676870,0.0073,2.50522,1.8050e+04,12.82,1253.0,583.25,1589.60,1,q1_q17_dr24_tce,5653.00,4.440,0.9650,297.015470,49.225288,15.052
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,33.933638160,186.6774700,0.7933,14.19700,8.4787e+03,7.25,430.0,8.10,263.90,1,q1_q17_dr24_tce,5038.00,4.628,0.7050,284.172330,49.360722,15.716
48,12110942,K00786.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.689926291,170.3646100,0.1166,2.62860,4.6220e+02,1.96,1147.0,408.99,34.30,1,q1_q17_dr24_tce,5880.00,4.518,0.9170,291.622410,50.618240,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,0,0,0,0,4.431242593,171.0145000,0.0986,3.12030,1.1026e+03,3.07,1074.0,314.29,72.30,1,q1_q17_dr24_tce,5841.00,4.520,0.9310,295.816160,51.121738,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,0,0,0,0,11.379380710,133.8496000,0.8812,2.48530,1.1726e+03,3.74,784.0,89.22,36.10,2,q1_q17_dr24_tce,5841.00,4.520,0.9310,295.816160,51.121738,15.367
51,12404086,K00788.01,,CANDIDATE,CANDIDATE,0,0,0,0,26.394356460,176.0535900,0.1304,3.47850,1.7564e+03,3.16,491.0,13.78,46.60,1,q1_q17_dr24_tce,5127.00,4.587,0.7750,289.399720,51.250320,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,0,0,0,0,13.570766220,136.2796700,0.1145,3.19890,5.2310e+02,2.35,796.0,94.89,87.10,1,q1_q17_dr24_tce,5881.00,4.388,1.0290,300.863980,44.337551,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,0,0,0,0,7.125945910,139.0049600,0.1989,2.80700,1.9440e+02,1.88,1191.0,476.01,56.00,2,q1_q17_dr24_tce,6391.00,4.226,1.3320,287.887330,46.276241,12.791
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.442652074,169.9718192,0.0035,2.31879,2.6050e+04,15.51,967.0,206.78,1166.50,1,q1_q17_dr24_tce,6108.00,4.469,0.9560,288.986820,49.733742,15.270
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,0,0,0,0,16.384856460,172.7288400,0.0953,2.97080,1.1655e+03,1.81,392.0,5.56,37.30,2,q1_q17_dr24_tce,3898.00,4.721,0.5400,286.738040,49.975750,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,0,0,0,0,7.877407090,176.3770000,0.8171,2.24780,1.4616e+03,2.33,500.0,14.76,53.60,1,q1_q17_dr24_tce,3898.00,4.721,0.5400,286.738040,49.975750,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,0,0,0,0,36.445198200,151.6040500,0.1034,3.91330,1.1556e+03,1.80,300.0,1.91,29.00,3,q1_q17_dr24_tce,3898.00,4.721,0.5400,286.738040,49.975750,15.095
58,11812062,K00776.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.728731093,171.7934490,0.4988,2.67340,5.7530e+03,6.27,1022.0,258.17,346.90,1,q1_q17_dr24_tce,5492.00,4.576,0.8120,290.785740,50.054119,15.523
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,0,0,0,0,40.419585010,173.5631740,0.9110,3.37080,6.9190e+03,8.02,468.0,11.29,115.60,1,q1_q17_dr24_tce,5446.00,4.507,0.7810,294.316860,50.080231,15.487
60,11853255,K00778.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.243381847,170.6788940,0.1408,1.02050,8.5040e+02,1.32,685.0,52.11,39.90,1,q1_q17_dr24_tce,3741.00,4.803,0.4500,285.176210,50.149818,15.135
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,10.405994900,177.1977350,0.2900,6.80820,1.5610e+04,11.63,833.0,113.94,731.80,1,q1_q17_dr24_tce,5746.00,4.393,0.9240,289.235530,50.241001,15.562
62,11918099,K00780.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.337438010,171.7618240,0.4935,2.01400,1.0467e+03,2.38,1054.0,291.62,81.40,1,q1_q17_dr24_tce,4989.00,4.605,0.7270,293.833310,50.230350,15.334
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,0,0,0,0,7.240651400,137.7572100,1.0147,0.57100,5.9890e+02,5.32,723.0,64.51,14.00,2,q1_q17_dr24_tce,4989.00,4.605,0.7270,293.833310,50.230350,15.334
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,0,0,0,0,3.435878900,132.6628500,0.1471,3.02500,2.3200e+01,0.65,1519.0,1257.38,9.80,,,6391.00,4.226,1.3320,287.887330,46.276241,12.791
65,11923270,K00781.01,,CANDIDATE,CANDIDATE,0,0,0,0,11.598221720,180.3954870,0.7980,2.62560,3.1853e+03,3.07,400.0,6.07,71.10,1,q1_q17_dr24_tce,3672.00,4.765,0.4900,296.221950,50.287220,15.937
66,11960862,K00782.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.575316780,173.6342960,0.0068,4.28370,2.9490e+03,5.38,1015.0,251.38,211.10,1,q1_q17_dr24_tce,5992.00,4.415,0.9890,290.098050,50.321609,15.312
67,12020329,K00783.01,,CANDIDATE,CANDIDATE,0,0,0,0,7.275037240,169.9948680,0.4649,7.52060,3.1451e+03,4.91,833.0,113.64,322.70,1,q1_q17_dr24_tce,5485.00,4.556,0.8670,295.455290,50.494560,15.080
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,0,0,0,0,19.271546800,186.7702000,0.2575,2.83270,1.3253e+03,1.73,343.0,3.28,41.20,1,q1_q17_dr24_tce,3767.00,4.783,0.4800,293.973360,50.531910,15.385
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,0,0,0,0,10.065258430,136.2879700,0.0455,1.40730,1.1596e+03,1.61,426.0,7.81,23.70,2,q1_q17_dr24_tce,3767.00,4.783,0.4800,293.973360,50.531910,15.385
70,12070811,K00785.01,,CANDIDATE,CANDIDATE,0,0,0,0,12.393586040,178.7457200,0.8214,3.72220,1.0114e+03,2.69,680.0,50.46,36.10,1,q1_q17_dr24_tce,5557.00,4.594,0.7520,296.021330,50.567780,15.505
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0,0,0,0,43.844443530,151.9342500,0.4969,6.41750,6.0030e+02,2.58,538.0,19.88,79.10,2,q1_q17_dr24_tce,5881.00,4.388,1.0290,300.863980,44.337551,12.882
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,3.341906192,171.6433500,0.5940,2.74640,7.4060e+02,2.26,1027.0,263.05,37.90,1,q1_q17_dr24_tce,5290.00,4.559,0.8040,292.315950,38.270290,15.629
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,0,0,0,0,1.626629735,169.8201970,5.1756,2.02540,1.9208e+03,447.32,1548.0,1355.88,103.80,1,q1_q17_dr24_tce,5735.00,4.410,0.9730,294.368190,38.310280,15.279
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,0,0,0,0,2.711502579,170.0351000,0.7837,3.16640,9.5790e+02,3.62,1405.0,920.54,64.80,1,q1_q17_dr24_tce,6167.00,4.444,1.0640,291.653530,38.494659,15.541
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,0,0,0,0,7.212041520,172.8175500,0.0074,4.05980,1.0833e+03,3.51,1015.0,250.42,51.90,2,q1_q17_dr24_tce,6167.00,4.444,1.0640,291.653530,38.494659,15.541
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,14.179818700,171.5023700,0.1601,2.50500,4.5990e+02,1.88,711.0,60.35,11.20,,,5799.00,4.539,0.8780,291.044800,51.321671,15.727
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,0,0,0,0,8.472378440,174.1625300,0.1190,2.71680,1.2203e+03,2.71,752.0,75.44,48.80,1,q1_q17_dr24_tce,5354.00,4.587,0.7880,296.366520,51.319519,15.339
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0,0,0,0,60.418613700,181.1626900,0.7049,5.29800,1.0453e+03,2.72,390.0,5.49,24.10,2,q1_q17_dr24_tce,5354.00,4.587,0.7880,296.366520,51.319519,15.339
79,12644822,K00791.01,,CANDIDATE,CANDIDATE,0,0,0,0,12.611906672,180.8924440,0.5409,5.16360,6.5637e+03,7.66,753.0,76.15,290.40,1,q1_q17_dr24_tce,5795.00,4.508,0.9190,289.112210,51.737381,15.140
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.433769219,170.4039950,1.5363,1.88250,2.1297e+03,64.96,1777.0,2358.16,118.80,1,q1_q17_dr24_tce,6235.00,4.395,1.0230,290.843690,37.728828,15.122
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,10.318700360,173.3162000,1.0312,3.80400,8.6380e+02,8.90,876.0,139.26,35.00,1,q1_q17_dr24_tce,5927.00,4.409,1.0600,291.848910,37.713501,15.065
82,2713049,K00794.01,,CANDIDATE,CANDIDATE,0,0,0,0,2.539183179,169.6741400,0.0038,2.38300,4.2540e+02,1.97,1348.0,780.68,37.70,1,q1_q17_dr24_tce,5996.00,4.489,0.9560,291.439970,37.905659,15.026
83,3114167,K00795.01,,CANDIDATE,CANDIDATE,0,0,0,0,6.770302008,170.5769700,0.4679,1.93980,1.4718e+03,2.66,813.0,103.21,50.40,1,q1_q17_dr24_tce,5666.00,4.658,0.6770,290.870510,38.273628,15.591
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,0.444291923,169.8656470,0.9411,2.14400,1.2413e+04,10.34,1834.0,2673.20,370.90,1,q1_q17_dr24_tce,5243.00,4.674,0.6350,290.996890,38.284920,15.748
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,0,0,0,0,10.181581555,177.1420540,0.9100,3.49170,6.4701e+03,8.18,819.0,106.37,179.30,1,q1_q17_dr24_tce,5995.00,4.529,0.8470,291.281950,38.241669,15.657
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,0,0,0,0,20.060374540,147.4654500,0.4436,3.32640,1.6563e+03,1.99,350.0,3.53,35.40,2,q1_q17_dr24_tce,3887.00,4.783,0.4800,286.079130,39.278320,15.954
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,0,0,0,0,46.184150000,165.2367700,0.0682,4.66700,1.6305e+03,1.94,265.0,1.16,28.10,3,q1_q17_dr24_tce,3887.00,4.783,0.4800,286.079130,39.278320,15.954
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0,0,0,0,23.980234800,147.5328200,0.2506,4.61100,9.2700e+01,0.99,658.0,44.45,13.70,3,q1_q17_dr24_tce,5881.00,4.388,1.0290,300.863980,44.337551,12.882
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0,0,0,0,7.825012060,136.5513100,0.5144,2.23000,6.0840e+02,1.22,478.0,12.36,15.00,4,q1_q17_dr24_tce,3887.00,4.783,0.4800,286.079130,39.278320,15.954
90,4275191,K00813.01,,CANDIDATE,CANDIDATE,0,0,0,0,3.895936844,170.5275250,0.5410,2.33890,9.7044e+03,7.92,1011.0,247.08,372.40,1,q1_q17_dr24_tce,5557.00,4.580,0.7810,294.655240,39.308361,15.725
91,4476123,K00814.01,,CANDIDATE,CANDIDATE,0,0,0,0,22.366560790,175.4550800,0.0848,5.15100,1.0956e+03,2.45,544.0,20.67,30.80,1,q1_q17_dr24_tce,5413.00,4.594,0.7510,294.710630,39.521740,15.583
92,3351888,K00801.01,,CANDIDATE,CANDIDATE,0,0,0,0,1.625522200,170.8266710,0.0015,2.38785,8.6777e+03,9.74,1572.0,1443.75,832.20,1,q1_q17_dr24_tce,5717.00,4.394,1.0570,293.871920,38.422939,15.001
