rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,2.70128814,170.69626,1.7237,3.4383,1.09E+03,74.88,1222,527.81,53.5,5550,4.468,0.91,297.92365,48.777321,15.54
40,11153539,K00762.01,,CANDIDATE,CANDIDATE,4.49876092,171.3511,0.0463,3.8308,5.19E+02,2.21,1133,389.62,30.4,6075,4.486,0.969,298.45685,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,19.65120605,179.402133,0.7106,5.2589,1.27E+04,12.83,730,67.03,528.1,6074,4.391,1.063,291.0939,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.41220713,133.142753,0.0975,2.8105,5.98E+02,3.28,1306,686.92,198.5,6391,4.226,1.332,287.88733,46.276241,12.791
43,11304958,K00764.01,,CANDIDATE,CANDIDATE,41.43962808,208.93112,0.3872,10.6468,3.01E+03,5.73,516,16.72,134.5,5468,4.367,1.046,295.55505,49.017342,15.4
44,11391957,K00765.01,,CANDIDATE,CANDIDATE,8.35390639,171.63264,0.0492,2.2712,1.07E+03,2.54,789,91.45,43.8,5592,4.584,0.782,285.49924,49.277351,15.317
45,11403044,K00766.01,,CANDIDATE,CANDIDATE,4.125546869,169.751997,0.3989,3.1389,1.58E+03,4.46,1244,565.35,128.8,6174,4.417,1.103,291.93616,49.253979,15.506
46,11414511,K00767.01,,CANDIDATE,CANDIDATE,2.816504852,170.967687,0.0073,2.50522,1.81E+04,12.82,1253,583.25,1589.6,5653,4.44,0.965,297.01547,49.225288,15.052
47,11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93363816,186.67747,0.7933,14.197,8.48E+03,7.25,430,8.1,263.9,5038,4.628,0.705,284.17233,49.360722,15.716
48,12110942,K00786.01,,CANDIDATE,CANDIDATE,3.689926291,170.36461,0.1166,2.6286,4.62E+02,1.96,1147,408.99,34.3,5880,4.518,0.917,291.62241,50.61824,15.242
49,12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431242593,171.0145,0.0986,3.1203,1.10E+03,3.07,1074,314.29,72.3,5841,4.52,0.931,295.81616,51.121738,15.367
50,12366084,K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37938071,133.8496,0.8812,2.4853,1.17E+03,3.74,784,89.22,36.1,5841,4.52,0.931,295.81616,51.121738,15.367
51,12404086,K00788.01,,CANDIDATE,CANDIDATE,26.39435646,176.05359,0.1304,3.4785,1.76E+03,3.16,491,13.78,46.6,5127,4.587,0.775,289.39972,51.25032,15.234
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57076622,136.27967,0.1145,3.1989,5.23E+02,2.35,796,94.89,87.1,5881,4.388,1.029,300.86398,44.337551,12.882
53,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594591,139.00496,0.1989,2.807,1.94E+02,1.88,1191,476.01,56,6391,4.226,1.332,287.88733,46.276241,12.791
54,11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652074,169.9718192,0.0035,2.31879,2.61E+04,15.51,967,206.78,1166.5,6108,4.469,0.956,288.98682,49.733742,15.27
55,11754553,K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38485646,172.72884,0.0953,2.9708,1.17E+03,1.81,392,5.56,37.3,3898,4.721,0.54,286.73804,49.97575,15.095
56,11754553,K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.87740709,176.377,0.8171,2.2478,1.46E+03,2.33,500,14.76,53.6,3898,4.721,0.54,286.73804,49.97575,15.095
57,11754553,K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4451982,151.60405,0.1034,3.9133,1.16E+03,1.8,300,1.91,29,3898,4.721,0.54,286.73804,49.97575,15.095
58,11812062,K00776.01,,CANDIDATE,CANDIDATE,3.728731093,171.793449,0.4988,2.6734,5.75E+03,6.27,1022,258.17,346.9,5492,4.576,0.812,290.78574,50.054119,15.523
59,11818800,K00777.01,,CANDIDATE,CANDIDATE,40.41958501,173.563174,0.911,3.3708,6.92E+03,8.02,468,11.29,115.6,5446,4.507,0.781,294.31686,50.080231,15.487
60,11853255,K00778.01,,CANDIDATE,CANDIDATE,2.243381847,170.678894,0.1408,1.0205,8.50E+02,1.32,685,52.11,39.9,3741,4.803,0.45,285.17621,50.149818,15.135
61,11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,10.4059949,177.197735,0.29,6.8082,1.56E+04,11.63,833,113.94,731.8,5746,4.393,0.924,289.23553,50.241001,15.562
62,11918099,K00780.01,,CANDIDATE,CANDIDATE,2.33743801,171.761824,0.4935,2.014,1.05E+03,2.38,1054,291.62,81.4,4989,4.605,0.727,293.83331,50.23035,15.334
63,11918099,K00780.02,,CANDIDATE,CANDIDATE,7.2406514,137.75721,1.0147,0.571,5.99E+02,5.32,723,64.51,14,4989,4.605,0.727,293.83331,50.23035,15.334
64,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.4358789,132.66285,0.1471,3.025,2.32E+01,0.65,1519,1257.38,9.8,6391,4.226,1.332,287.88733,46.276241,12.791
65,11923270,K00781.01,,CANDIDATE,CANDIDATE,11.59822172,180.395487,0.798,2.6256,3.19E+03,3.07,400,6.07,71.1,3672,4.765,0.49,296.22195,50.28722,15.937
66,11960862,K00782.01,,CANDIDATE,CANDIDATE,6.57531678,173.634296,0.0068,4.2837,2.95E+03,5.38,1015,251.38,211.1,5992,4.415,0.989,290.09805,50.321609,15.312
67,12020329,K00783.01,,CANDIDATE,CANDIDATE,7.27503724,169.994868,0.4649,7.5206,3.15E+03,4.91,833,113.64,322.7,5485,4.556,0.867,295.45529,50.49456,15.08
68,12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.2715468,186.7702,0.2575,2.8327,1.33E+03,1.73,343,3.28,41.2,3767,4.783,0.48,293.97336,50.53191,15.385
69,12066335,K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06525843,136.28797,0.0455,1.4073,1.16E+03,1.61,426,7.81,23.7,3767,4.783,0.48,293.97336,50.53191,15.385
70,12070811,K00785.01,,CANDIDATE,CANDIDATE,12.39358604,178.74572,0.8214,3.7222,1.01E+03,2.69,680,50.46,36.1,5557,4.594,0.752,296.02133,50.56778,15.505
71,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84444353,151.93425,0.4969,6.4175,6.00E+02,2.58,538,19.88,79.1,5881,4.388,1.029,300.86398,44.337551,12.882
72,3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,3.341906192,171.64335,0.594,2.7464,7.41E+02,2.26,1027,263.05,37.9,5290,4.559,0.804,292.31595,38.27029,15.629
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,1.626629735,169.820197,5.1756,2.0254,1.92E+03,447.32,1548,1355.88,103.8,5735,4.41,0.973,294.36819,38.31028,15.279
74,3342970,K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711502579,170.0351,0.7837,3.1664,9.58E+02,3.62,1405,920.54,64.8,6167,4.444,1.064,291.65353,38.494659,15.541
75,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21204152,172.81755,0.0074,4.0598,1.08E+03,3.51,1015,250.42,51.9,6167,4.444,1.064,291.65353,38.494659,15.541
76,12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,14.1798187,171.50237,0.1601,2.505,4.60E+02,1.88,711,60.35,11.2,5799,4.539,0.878,291.0448,51.321671,15.727
77,12470844,K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237844,174.16253,0.119,2.7168,1.22E+03,2.71,752,75.44,48.8,5354,4.587,0.788,296.36652,51.319519,15.339
78,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4186137,181.16269,0.7049,5.298,1.05E+03,2.72,390,5.49,24.1,5354,4.587,0.788,296.36652,51.319519,15.339
79,12644822,K00791.01,,CANDIDATE,CANDIDATE,12.61190667,180.892444,0.5409,5.1636,6.56E+03,7.66,753,76.15,290.4,5795,4.508,0.919,289.11221,51.737381,15.14
80,2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.433769219,170.403995,1.5363,1.8825,2.13E+03,64.96,1777,2358.16,118.8,6235,4.395,1.023,290.84369,37.728828,15.122
81,2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,10.31870036,173.3162,1.0312,3.804,8.64E+02,8.9,876,139.26,35,5927,4.409,1.06,291.84891,37.713501,15.065
82,2713049,K00794.01,,CANDIDATE,CANDIDATE,2.539183179,169.67414,0.0038,2.383,4.25E+02,1.97,1348,780.68,37.7,5996,4.489,0.956,291.43997,37.905659,15.026
83,3114167,K00795.01,,CANDIDATE,CANDIDATE,6.770302008,170.57697,0.4679,1.9398,1.47E+03,2.66,813,103.21,50.4,5666,4.658,0.677,290.87051,38.273628,15.591
84,3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.444291923,169.865647,0.9411,2.144,1.24E+04,10.34,1834,2673.2,370.9,5243,4.674,0.635,290.99689,38.28492,15.748
85,3115833,K00797.01,,CANDIDATE,CANDIDATE,10.18158156,177.142054,0.91,3.4917,6.47E+03,8.18,819,106.37,179.3,5995,4.529,0.847,291.28195,38.241669,15.657
86,4139816,K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06037454,147.46545,0.4436,3.3264,1.66E+03,1.99,350,3.53,35.4,3887,4.783,0.48,286.07913,39.27832,15.954
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.18415,165.23677,0.0682,4.667,1.63E+03,1.94,265,1.16,28.1,3887,4.783,0.48,286.07913,39.27832,15.954
88,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9802348,147.53282,0.2506,4.611,9.27E+01,0.99,658,44.45,13.7,5881,4.388,1.029,300.86398,44.337551,12.882
89,4139816,K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82501206,136.55131,0.5144,2.23,6.08E+02,1.22,478,12.36,15,3887,4.783,0.48,286.07913,39.27832,15.954
90,4275191,K00813.01,,CANDIDATE,CANDIDATE,3.895936844,170.527525,0.541,2.3389,9.70E+03,7.92,1011,247.08,372.4,5557,4.58,0.781,294.65524,39.308361,15.725
91,4476123,K00814.01,,CANDIDATE,CANDIDATE,22.36656079,175.45508,0.0848,5.151,1.10E+03,2.45,544,20.67,30.8,5413,4.594,0.751,294.71063,39.52174,15.583
92,3351888,K00801.01,,CANDIDATE,CANDIDATE,1.6255222,170.826671,0.0015,2.38785,8.68E+03,9.74,1572,1443.75,832.2,5717,4.394,1.057,293.87192,38.422939,15.001
93,3453214,K00802.01,,CANDIDATE,CANDIDATE,19.62034739,181.881844,0.3365,1.9826,2.39E+04,12,605,31.59,354.2,5733,4.592,0.77,293.81619,38.563568,15.562
94,3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,7.54405475,171.79505,1.4277,5.906,3.97E+02,39.76,836,115.3,16.2,5648,4.566,0.818,293.94116,38.601101,15.559
95,3641726,K00804.01,,CANDIDATE,CANDIDATE,9.0293089,177.20351,0.0207,3.1323,1.14E+03,2.72,757,77.75,52.5,5349,4.526,0.82,290.33362,38.72823,15.387
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,10.32803312,174.581229,0.0241,7.78794,1.89E+04,13.94,843,119.31,959.8,5627,4.359,1.024,287.69675,38.886452,15.646
97,3832474,K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063518,154.23509,0.3889,8.9776,1.16E+04,9.36,308,2.14,190.6,5485,4.556,0.867,285.28363,38.947281,15.403
98,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.16491696,135.63743,0.5416,3.227,6.37E+01,0.85,1035,271.63,14.6,5881,4.388,1.029,300.86398,44.337551,12.882
99,3832474,K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32488611,243.893468,0.2149,6.656,2.26E+04,12.88,411,6.77,480.8,5485,4.556,0.867,285.28363,38.947281,15.403
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,29.1598615,150.69922,0.3619,4.803,4.88E+02,1.91,524,17.85,11.6,5485,4.556,0.867,285.28363,38.947281,15.403
101,3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.540396006,170.5055,1.3645,2.4516,1.28E+03,40.15,1471,1105.68,58.1,5663,4.53,0.915,286.92639,38.921631,15.974
102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,2.99025788,171.9838,1.0077,7.318,8.00E+02,4.76,919,168.45,49.8,4667,4.578,0.731,287.74881,38.92955,15.842
103,3935914,K00809.01,,CANDIDATE,CANDIDATE,1.594745463,170.6483223,0.4694,1.9561,1.65E+04,11.77,1540,1329.42,1054,5934,4.491,0.893,285.21381,39.027481,15.53
104,3940418,K00810.01,,CANDIDATE,CANDIDATE,4.78300451,170.508352,0.5955,2.3788,1.10E+03,2.76,886,145.48,76.1,5170,4.574,0.807,287.09399,39.060719,15.119
105,4049131,K00811.01,,CANDIDATE,CANDIDATE,20.50586978,181.43474,0.2545,4.0602,2.38E+03,3.62,518,17.06,91.5,4905,4.544,0.761,289.31543,39.153278,15.398
106,4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,3.34021995,171.978985,0.6404,1.9145,1.88E+03,2.18,635,38.42,70.6,3887,4.783,0.48,286.07913,39.27832,15.954
107,5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,2.507089654,171.002371,1.5567,1.9984,1.90E+03,61.48,1326,730.47,84,5926,4.506,0.939,295.37805,40.493401,15.555
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,18.64929678,174.77191,0.1107,4.3227,9.36E+02,2.9,700,56.9,46.7,6079,4.495,0.945,290.46176,40.562462,15.386
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90143807,138.60783,0.7916,4.2462,1.40E+02,1.84,1263,601.94,58.8,5851,4.192,1.411,297.02826,48.208611,12.487
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,9.75193182,138.78652,0.9349,4.575,4.41E+02,2.44,869,135.05,29.4,6079,4.495,0.945,290.46176,40.562462,15.386
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,38.5575914,163.85227,0.8798,5.605,1.06E+03,3.57,550,21.6,38.6,6079,4.495,0.945,290.46176,40.562462,15.386
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,3.525632561,170.0479922,0.0023,2.614,2.40E+04,11.87,955,196.91,2112.1,5071,4.58,0.788,290.58173,40.5774,15.224
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,34.84399566,172.633209,0.9177,2.8954,4.80E+03,7.49,511,16.1,69.1,5509,4.482,0.871,285.92001,39.624828,15.684
114,4664847,K00816.01,,CANDIDATE,CANDIDATE,7.748094374,174.997431,0.3857,3.5631,2.61E+03,5.56,958,198.7,112.5,5918,4.431,1.079,294.4899,39.771439,15.67
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,23.9679932,186.22036,0.3729,3.826,1.31E+03,1.85,325,2.62,30.6,3750,4.755,0.51,283.86639,39.898079,15.414
116,4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,8.29559431,135.79488,0.3225,1.1972,8.90E+02,1.53,462,10.8,19.2,3750,4.755,0.51,283.86639,39.898079,15.414
117,4913852,K00818.01,,CANDIDATE,CANDIDATE,8.114379,176.33925,0.0565,2.258,1.73E+03,2.14,466,11.19,58.3,3721,4.738,0.52,288.81201,40.033401,15.877
118,4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,38.03673025,196.9349372,0.9572,5.4011,3.68E+04,28.49,500,14.81,83.9,5575,4.521,0.932,294.14789,40.055538,15.472
119,4936180,K00820.01,,CANDIDATE,CANDIDATE,4.640933983,173.720584,0.091,1.688,3.90E+03,4.76,1155,421.08,345.7,6463,4.5,0.826,295.11371,40.071171,15.27
120,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,3.747839179,171.664884,1.0751,5.1114,8.72E+02,10.47,1031,266.76,200.6,5514,4.569,0.826,291.06152,50.265129,13.496
121,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.74913518,138.77878,0.6808,6.1887,4.21E+02,3.07,875,138.71,107.2,5851,4.192,1.411,297.02826,48.208611,12.487
122,5021899,K00821.01,,CANDIDATE,CANDIDATE,21.81293494,174.01129,0.0574,4.3891,1.35E+03,3.62,639,39.33,38.6,5601,4.41,0.999,294.77686,40.15374,15.54
123,5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,7.919369475,172.181052,0.7173,3.32,1.69E+04,10.89,814,104.02,428.6,5679,4.584,0.778,283.53845,40.217999,15.805
124,5115978,K00823.01,,CANDIDATE,CANDIDATE,1.028436523,170.228582,1.5734,1.8606,8.10E+03,72.77,1947,3400.48,89.6,6228,4.428,0.99,296.00699,40.295429,15.202
125,5164255,K00824.01,,CANDIDATE,CANDIDATE,15.37563332,173.613288,0.6056,3.2673,1.83E+04,10.45,576,26.08,168.5,4985,4.549,0.744,283.25354,40.358189,16.422
126,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,8.10361363,176.95034,0.3127,3.197,1.00E+03,2.27,688,52.82,40.8,4861,4.574,0.732,283.22141,40.421829,15.289
127,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,4.71510365,134.96066,0.0687,2.39,4.51E+02,1.5,824,108.84,21.2,4861,4.574,0.732,283.22141,40.421829,15.289
128,5272878,K00826.01,,CANDIDATE,CANDIDATE,6.365841612,171.13543,0.5232,2.9697,8.44E+02,2.54,917,166.88,72.8,5787,4.553,0.851,291.14951,40.420521,15.09
129,5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,5.9758189,174.77639,0.8841,2.764,1.05E+03,3.77,1047,284.25,50,6108,4.471,0.997,294.22397,40.417858,15.546
130,5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,2.446737079,170.669528,1.2784,4.6864,3.54E+03,32.5,1255,586.2,315.4,5751,4.552,0.854,298.96112,40.862808,15.021
131,5651104,K00840.01,,CANDIDATE,CANDIDATE,3.040330424,169.9490062,0.7264,1.8394,1.14E+04,9.17,1021,257.29,682.4,5035,4.519,0.791,299.3161,40.82238,15.028
132,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,15.33525912,174.003897,0.1318,3.5748,3.41E+03,4.94,630,37.16,96.7,5325,4.558,0.863,292.23676,41.08588,15.855
133,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.95830216,137.79777,0.1553,4.384,5.83E+01,1.07,1075,315.94,19.3,5851,4.192,1.411,297.02826,48.208611,12.487
134,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,31.33050622,153.429327,0.7923,5.2279,5.68E+03,7.24,496,14.33,134.7,5325,4.558,0.863,292.23676,41.08588,15.855
135,5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,3.904344085,173.3935248,0.6929,3.8177,1.70E+04,12.51,1104,351.05,1332.8,5810,4.526,0.898,294.05676,40.549679,15.016
136,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,9.286358433,171.8215047,0.3351,3.61811,4.88E+04,18.32,796,95.03,1895.9,5670,4.523,0.821,294.74396,40.53392,15.365
137,5376067,K00833.01,,CANDIDATE,CANDIDATE,3.951403812,173.276604,1.2752,2.197,2.68E+03,31.71,1132,388.71,117.6,6046,4.539,0.869,295.50439,40.505489,15.446
