# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr  2 05:10:39 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
34,70 Vir,b,Radial Velocity,1,116.69260000,0.481000,0.399000,,7.40000,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,4.980,V (Johnson),5439.00,1.09,1.94,2015-04-24
35,75 Cet,b,Radial Velocity,1,691.90000000,2.100000,0.117000,,3.00000,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.50,5.350,V (Johnson),4846.00,2.49,10.50,2015-09-03
36,8 UMi,b,Radial Velocity,1,93.40000000,0.490000,0.060000,,1.50000,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,6.830,V (Johnson),4847.40,1.80,9.90,2015-10-15
37,81 Cet,b,Radial Velocity,1,952.70000000,2.500000,0.206000,,5.30000,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,5.650,V (Johnson),4785.00,2.40,11.00,2014-05-14
38,91 Aqr,b,Radial Velocity,1,181.40000000,0.700000,0.027000,,3.20000,Msini,,,0,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,45.52,4.250,V (Johnson),4665.00,1.40,11.00,2014-05-14
39,AB Pic,b,Imaging,1,,260.000000,,,13.50000,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,45.52,9.128,V (Johnson),,,,2014-05-14
40,BD+14 4559,b,Radial Velocity,1,268.94000000,0.777000,0.290000,,1.47000,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,9.630,V (Johnson),5008.00,0.86,0.95,2014-05-14
41,BD+15 2375,b,Radial Velocity,1,153.22000000,0.576000,0.001000,,1.06100,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,10.310,V (Johnson),4649.00,1.08,8.95,2016-02-04
42,BD+15 2940,b,Radial Velocity,1,137.48000000,0.539000,0.260000,,1.11000,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,175.44,9.046,V (Johnson),4796.00,1.10,14.70,2014-05-14
43,BD+20 1790,b,Radial Velocity,1,7.78287000,0.066000,0.220000,,6.37000,Msini,,,0,0,0,0,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.40,,,4410.00,0.63,0.71,2015-03-26
44,BD+20 2457,b,Radial Velocity,2,379.63000000,1.450000,0.150000,,21.42000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,9.750,V (Johnson),4137.00,2.80,49.00,2014-05-14
45,BD+20 2457,c,Radial Velocity,2,621.99000000,2.010000,0.180000,,12.47000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,,9.750,V (Johnson),4137.00,2.80,49.00,2014-05-14
46,BD+20 274,b,Radial Velocity,1,578.20000000,1.300000,0.210000,,4.20000,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,,9.360,V (Johnson),4296.00,0.80,17.30,2015-09-18
47,BD+48 738,b,Radial Velocity,1,392.60000000,1.000000,0.200000,,0.91000,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,,9.140,V (Johnson),4414.00,0.74,11.00,2015-08-13
48,BD+49 828,b,Radial Velocity,1,2590.00000000,4.200000,0.350000,,1.60000,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,,9.380,V (Johnson),4943.00,1.52,7.60,2015-02-05
49,BD-06 1339,b,Radial Velocity,2,3.87280000,0.042800,0.000000,,0.02700,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,9.700,V (Johnson),4324.00,0.70,,2014-05-14
50,BD-06 1339,c,Radial Velocity,2,125.94000000,0.435000,0.310000,,0.17000,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.10,9.700,V (Johnson),4324.00,0.70,,2014-05-14
51,BD-08 2823,b,Radial Velocity,2,5.60000000,0.056000,0.150000,,0.04500,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,42.09,9.880,V (Johnson),4746.00,0.74,,2014-05-14
52,BD-08 2823,c,Radial Velocity,2,237.60000000,0.680000,0.190000,,0.33000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,42.09,9.880,V (Johnson),4746.00,0.74,,2014-05-14
53,BD-10 3166,b,Radial Velocity,1,3.48777000,0.045200,0.019000,,0.45800,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80.00,10.080,V (Johnson),5393.00,1.01,,2014-08-27
54,BD-11 4672,b,Radial Velocity,1,1667.00000000,2.280000,0.050000,,0.53000,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,9.990,V (Johnson),4475.00,0.57,0.52,2015-01-08
55,BD-13 2130,b,Radial Velocity,1,714.30000000,2.100000,0.210000,,10.60000,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766.00,9.450,V (Johnson),,2.40,,2015-05-14
56,BD-17 63,b,Radial Velocity,1,655.60000000,1.340000,0.540000,,5.10000,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,9.566,V (Johnson),4714.00,0.74,0.69,2014-05-14
57,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2.600000,,,10.50000,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,,580.50,0.02,,2014-05-14
58,CHXR 73,b,Imaging,1,,210.000000,,,12.56900,Mass,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,,,,,0.35,,2014-05-14
59,CT Cha,b,Imaging,1,,440.000000,,,17.00000,Mass,2.200,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,,,,,,2014-05-14
60,CoRoT-1,b,Transit,1,1.50895570,,0.000000,85.100,1.03000,Mass,1.490,0.38000,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,,13.600,V (Johnson),5950.00,0.95,1.11,2014-05-14
61,CoRoT-10,b,Transit,1,13.24060000,0.105500,0.530000,88.550,2.75000,Mass,0.970,3.70000,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,15.220,V (Johnson),5075.00,0.89,0.79,2014-05-14
62,CoRoT-11,b,Transit,1,2.99433000,0.043600,0.000000,83.170,2.33000,Mass,1.430,0.99000,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,,,6440.00,1.27,1.37,2014-05-14
63,CoRoT-12,b,Transit,1,2.82804200,0.040160,0.070000,85.480,0.91700,Mass,1.440,0.41100,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.00,15.515,V (Johnson),5675.00,1.08,1.12,2014-05-14
64,CoRoT-13,b,Transit,1,4.03519000,0.051000,0.000000,88.020,1.30800,Mass,0.885,2.34000,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060.00,15.039,V (Johnson),5945.00,1.09,1.01,2014-05-14
65,CoRoT-14,b,Transit,1,1.51214000,0.027000,0.000000,79.600,7.60000,Mass,1.090,7.30000,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,16.033,V (Johnson),6035.00,1.13,1.21,2014-05-14
66,CoRoT-16,b,Transit,1,5.35227000,0.061800,0.330000,85.010,0.53500,Mass,1.170,0.44000,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,15.630,V (Johnson),5650.00,1.10,1.19,2014-05-14
67,CoRoT-17,b,Transit,1,3.76810000,0.046100,0.000000,88.340,2.43000,Mass,1.020,2.82000,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,15.460,V (Johnson),5740.00,1.04,1.59,2014-05-14
68,CoRoT-18,b,Transit,1,1.90006930,0.029500,0.080000,86.500,3.47000,Mass,1.310,2.20000,0,0,0,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,15.000,V (Johnson),5440.00,0.95,1.00,2014-05-14
69,CoRoT-19,b,Transit,1,3.89713000,0.051800,0.047000,88.000,1.11000,Mass,1.290,0.71000,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,14.007,V (Johnson),6090.00,1.21,1.65,2014-05-14
70,CoRoT-2,b,Transit,1,1.74299350,0.027980,0.014300,88.080,3.47000,Mass,1.466,1.47000,0,0,0,0,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,12.570,V (Johnson),5625.00,0.96,0.91,2014-05-14
71,CoRoT-20,b,Transit,1,9.24285000,0.090200,0.562000,88.210,4.24000,Mass,0.840,8.87000,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230.00,14.660,V (Johnson),5880.00,1.14,1.02,2014-05-14
72,CoRoT-22,b,Transit,1,9.75598000,0.092000,0.077000,89.749,0.03800,Mass,0.435,0.24900,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,13.944,V (Johnson),5939.00,1.10,1.14,2014-08-21
73,CoRoT-23,b,Transit,1,3.63130000,0.048000,0.160000,85.700,2.80000,Mass,1.050,3.00000,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,15.630,V (Johnson),5900.00,1.14,1.61,2014-05-14
74,CoRoT-24,b,Transit,2,5.11340000,0.056000,0.000000,86.500,0.01800,Mass,0.330,0.90000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,,4950.00,0.91,0.86,2014-06-11
75,CoRoT-24,c,Transit,2,11.75900000,0.098000,0.000000,89.000,0.08800,Mass,0.440,1.30000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,,4950.00,0.91,0.86,2014-06-11
76,CoRoT-25,b,Transit,1,4.86069000,0.057800,0.000000,84.500,0.27000,Mass,1.080,0.15000,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,,,6040.00,1.09,1.19,2014-05-14
77,CoRoT-26,b,Transit,1,4.20474000,0.052600,0.000000,86.800,0.52000,Mass,1.260,0.28000,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,,,5590.00,1.09,1.79,2014-05-14
78,CoRoT-27,b,Transit,1,3.57532000,0.047600,0.065000,86.700,10.39000,Mass,1.007,12.60000,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,,15.540,V (Johnson),5900.00,1.05,1.08,2014-05-14
79,CoRoT-28,b,Transit,1,5.20851000,0.060300,0.047000,88.100,0.48400,Mass,0.955,0.69000,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.573730,560.00,,,5150.00,1.01,1.78,2015-04-16
80,CoRoT-29,b,Transit,1,2.85057000,0.038600,0.082000,87.300,0.85000,Mass,0.900,1.45000,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765.00,,,5260.00,0.97,0.90,2015-04-16
81,CoRoT-3,b,Transit,1,4.25680000,,0.000000,85.900,21.66000,Mass,1.010,26.40000,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.121820,680.00,,,6740.00,1.37,1.56,2014-05-14
82,CoRoT-4,b,Transit,1,9.20205000,0.090000,0.000000,90.000,0.72000,Mass,1.190,0.52500,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,,,,6190.00,1.16,1.17,2014-05-14
83,CoRoT-5,b,Transit,1,4.03789620,0.049470,0.090000,85.830,0.46700,Mass,1.388,0.21700,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,,,,6100.00,1.00,1.19,2014-05-14
84,CoRoT-6,b,Transit,1,8.88659300,0.085500,0.100000,89.070,2.96000,Mass,1.166,2.32000,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,,13.912,V (Johnson),6090.00,1.05,1.02,2014-05-14
85,CoRoT-7,b,Transit,2,0.85359159,0.017016,0.000000,80.780,0.01800,Mass,0.141,7.50000,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,11.668,V (Johnson),5259.00,0.91,0.82,2015-03-05
86,CoRoT-7,c,Radial Velocity,2,3.69800000,0.046000,0.000000,80.000,0.02643,Mass,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.70,11.668,V (Johnson),5259.00,0.91,0.82,2015-09-10
87,CoRoT-8,b,Transit,1,6.21229000,0.063000,0.000000,88.400,0.22000,Mass,0.570,1.60000,0,0,0,0,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.00,14.800,V (Johnson),5080.00,0.88,0.77,2014-05-14
88,CoRoT-9,b,Transit,1,95.27380000,0.407000,0.110000,89.990,0.84000,Mass,1.050,0.90000,0,0,0,0,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460.00,13.690,V (Johnson),5625.00,0.99,0.94,2014-05-14
89,DENIS-P J082303.1-491201,b,Astrometry,1,246.36000000,0.360000,0.345000,56.600,28.50000,Mass,,,0,0,0,0,08h23m03.13s,125.763050,-49d12m01.3s,-49.200359,20.77,,,,0.07,,2014-05-14
90,DH Tau,b,Imaging,1,,330.000000,,,11.00000,Mass,,,0,0,0,1,04h29m41.56s,67.423158,+26d32m58.3s,26.549520,140.00,,,,0.33,0.27,2014-05-14
91,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,8.190000,0.390000,,6.05000,Msini,,,0,0,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,0.69,,2014-05-14
92,FU Tau,b,Imaging,1,,800.000000,,,16.00000,Mass,,,0,0,0,1,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140.00,,,2838.00,0.05,,2016-03-10
93,Fomalhaut,b,Imaging,1,555530.00000000,160.000000,0.870000,55.000,,,,,0,0,0,2,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,1.160,V (Johnson),,2.00,,2015-11-19
94,GJ 1132,b,Transit,1,1.62893000,,0.000000,,0.00510,Mass,0.103,6.00000,0,0,0,1,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,13.490,V (Johnson),3270.00,0.18,0.21,2015-11-12
95,GJ 1214,b,Transit,1,1.58040456,0.014110,,88.170,0.01970,Mass,0.254,1.49000,0,0,0,3,17h15m18.92s,258.828837,+04d57m50.1s,4.963920,,15.100,V (Johnson),3170.00,0.16,0.18,2015-12-03
96,GJ 15 A,b,Radial Velocity,1,11.44330000,0.071700,0.000000,,0.01700,Msini,,,0,0,0,0,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,8.080,V (Johnson),3567.00,0.38,0.39,2014-09-18
97,GJ 163,b,Radial Velocity,3,8.63100000,0.061000,0.110000,,0.03500,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,V (Johnson),3500.00,0.40,,2014-05-14
98,GJ 163,c,Radial Velocity,3,25.60000000,0.130000,0.080000,,0.02400,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,V (Johnson),3500.00,0.40,,2014-05-14
99,GJ 163,d,Radial Velocity,3,603.00000000,1.000000,0.410000,,0.07900,Msini,,,0,0,0,0,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,11.810,V (Johnson),3500.00,0.40,,2014-05-14
100,GJ 179,b,Radial Velocity,1,2288.00000000,2.410000,0.210000,,0.82000,Msini,,,0,0,0,0,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,12.000,V (Johnson),3370.00,0.36,0.38,2014-05-14
101,GJ 3021,b,Radial Velocity,1,133.71000000,0.490000,0.511000,,3.37000,Msini,,,0,0,0,1,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.62,6.590,V (Johnson),5540.00,0.90,0.90,2014-05-14
102,GJ 317,b,Radial Velocity,1,692.00000000,1.150000,0.110000,45.000,2.50000,Mass,,,0,0,0,0,08h40m59.22s,130.246730,-23d27m22.6s,-23.456289,15.10,11.970,V (Johnson),3510.00,0.42,,2014-08-27
